,final_legend,export_group,hersteller,modell,geometrie,nennstrom,technologie,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,Preis (€),volumen
115,MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1  | Dreieck,mes_gesamt,MBS,ASK101.4,Dreieck,2000,Standard,L2,"-0,28","-0,25",,,,"-0,2","-0,23","43,67","733,2"
116,MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1  | Dreieck,mes_gesamt,MBS,ASK101.4,Dreieck,2000,Standard,L3,"0,02","-0,04",,,,"-0,16","-0,17","43,67","733,2"
117,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1  | Dreieck,mes_gesamt,Redur,13A1030.3ffp,Dreieck,2000,FFP,L1,"0,47","0,02",,,,"-0,12","-0,12","146,01","778,73"
118,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1  | Dreieck,mes_gesamt,Redur,13A1030.3ffp,Dreieck,2000,FFP,L2,"0,34","0,09",,,,"-0,09","-1,53","146,01","778,73"
119,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1  | Dreieck,mes_gesamt,Redur,13A1030.3ffp,Dreieck,2000,FFP,L3,"0,47","0,11",,,,"0,13","-0,07","146,01","778,73"
120,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8  | Dreieck,mes_gesamt,Celsa,ALO 12070,Dreieck,3000,Standard,L1,"0,14","-0,17","-0,26","-0,31","-0,34","-0,39","-0,69","71,51",1520
121,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8  | Dreieck,mes_gesamt,Celsa,ALO 12070,Dreieck,3000,Standard,L2,"0,2","-0,09","-0,17","-0,2","-0,2","-0,21","-0,23","71,51",1520
122,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8  | Dreieck,mes_gesamt,Celsa,ALO 12070,Dreieck,3000,Standard,L3,"0,33","0,06","-0,05","-0,11","-0,14","-0,04","-0,02","71,51",1520
123,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8  | Dreieck,mes_gesamt,Celsa,ALO 10050 K,Dreieck,2500,Kompensiert,L1,"-0,03","-0,19","-0,23","-0,26","-0,26","-0,28","-0,31","104,2",1027
124,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8  | Dreieck,mes_gesamt,Celsa,ALO 10050 K,Dreieck,2500,Kompensiert,L2,"0,01","-0,14","-0,19","-0,22","-0,24","-0,28","-0,55","104,2",1027
125,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8  | Dreieck,mes_gesamt,Celsa,ALO 10050 K,Dreieck,2500,Kompensiert,L3,"0,1","-0,08","-0,13","-0,17","-0,19","-0,23","-0,32","104,2",1027
126,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,mes_gesamt,Celsa,ALO 10030,Dreieck,2500,Standard,L1,"0,16","-0,11","-0,25","-1,68","-3,34","-5,07","-8,28","45,5",634291
127,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,mes_gesamt,Celsa,ALO 10030,Dreieck,2500,Standard,L2,"0,07","-0,2","-0,32","-1,57","-1,76","-1,83","-1,95","45,5",634291
128,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,mes_gesamt,Celsa,ALO 10030,Dreieck,2500,Standard,L3,"0,18","-0,14","-0,26","-1,13","-2,23","-3,45","-5,44","45,5",634291
129,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8  | Dreieck,mes_gesamt,Celsa,ALO 12070 K,Dreieck,3000,Kompensiert,L1,"0,27","-0,09","-0,17","-0,18","-0,16","-0,14","-0,08","346,06",1520
130,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8  | Dreieck,mes_gesamt,Celsa,ALO 12070 K,Dreieck,3000,Kompensiert,L2,"0,3","0,02","-0,07","-0,11","-0,09","-0,07","0,1","346,06",1520
131,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8  | Dreieck,mes_gesamt,Celsa,ALO 12070 K,Dreieck,3000,Kompensiert,L3,"0,34","0,15","0,14","0,17","-0,04","-0,05","-0,05","346,06",1520
132,Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8  | Parallel,mes_gesamt,Celsa,ALO 12070 K,Parallel,3000,Kompensiert,L1,"0,19","-0,07","-0,18","-0,17","-0,15","-0,12","-0,07","346,06",1520
133,Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8  | Parallel,mes_gesamt,Celsa,ALO 12070 K,Parallel,3000,Kompensiert,L2,"0,21","-0,01","-0,1","-0,07","0,02","0,27","0,93","346,06",1520
134,Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8  | Parallel,mes_gesamt,Celsa,ALO 12070 K,Parallel,3000,Kompensiert,L3,"0,35","0,11",0,"-0,03","-0,02","0,01","0,08","346,06",1520
135,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8  | Parallel,mes_gesamt,Celsa,ALO 12070,Parallel,3000,Standard,L1,"0,27","-0,2","-0,23","-0,3","-0,35","-0,42","-1,02","71,51",1520
136,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8  | Parallel,mes_gesamt,Celsa,ALO 12070,Parallel,3000,Standard,L2,"0,29","-0,09","-0,16","-1,08","-1,89","-2,92","-5,43","71,51",1520
137,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8  | Parallel,mes_gesamt,Celsa,ALO 12070,Parallel,3000,Standard,L3,"0,25","-0,03","-0,1","-0,14","-0,15","-0,17","-0,91","71,51",1520
138,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8  | Parallel,mes_gesamt,Celsa,ALO 10050 K,Parallel,2500,Kompensiert,L1,"0,08","-0,16","-0,23","-0,27","-0,31","-0,29","-0,33","104,2",1027
139,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8  | Parallel,mes_gesamt,Celsa,ALO 10050 K,Parallel,2500,Kompensiert,L2,"0,25","-0,1","-0,19","-0,24","-0,3","-0,37","-1,01","104,2",1027
140,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8  | Parallel,mes_gesamt,Celsa,ALO 10050 K,Parallel,2500,Kompensiert,L3,"0,23","-0,05","-0,14","-0,17","-0,2","-0,2","-0,26","104,2",1027
141,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,mes_gesamt,Celsa,ALO 10030,Parallel,2500,Standard,L1,"-0,06","-0,21","-0,65","-7,42","-10,06","-12,37","-16,24","45,5",634291
142,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,mes_gesamt,Celsa,ALO 10030,Parallel,2500,Standard,L2,"0,06","-0,12","-2,73","-11,57","-14,28","-16,62","-20,57","45,5",634291
143,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,mes_gesamt,Celsa,ALO 10030,Parallel,2500,Standard,L3,"0,18","0,03","-0,12","-5,35","-7,86","-10,1","-13,86","45,5",634291
144,Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0  | Parallel,mes_gesamt,Celsa,ALO 12070,Parallel,3000,Standard,L1,"0,08","-0,13","-0,22","-0,28","-0,32","-0,4","-1,86","71,51",1520
145,Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0  | Parallel,mes_gesamt,Celsa,ALO 12070,Parallel,3000,Standard,L2,"0,17","-0,04","-0,13","-0,6","-1,42","-2,54","-5,11","71,51",1520
146,Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0  | Parallel,mes_gesamt,Celsa,ALO 12070,Parallel,3000,Standard,L3,"0,3","0,05","-0,05","-0,09","-0,1","-0,12","-0,43","71,51",1520
147,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0  | Parallel,mes_gesamt,Celsa,ALO 12070 K,Parallel,4000,Kompensiert,L1,"0,33","0,09","0,04","0,04","0,04","0,06","0,04","401,91",1520
148,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0  | Parallel,mes_gesamt,Celsa,ALO 12070 K,Parallel,4000,Kompensiert,L2,"0,11","-0,11","-0,17","-0,17","-0,18","-0,2","-0,58","401,91",1520
149,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0  | Parallel,mes_gesamt,Celsa,ALO 12070 K,Parallel,4000,Kompensiert,L3,"0,21","0,03","-0,04","-0,06","-0,06","-0,05","-0,03","401,91",1520
150,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0  | Parallel,mes_gesamt,Celsa,ALO 12070,Parallel,4000,Standard,L1,"0,22","-0,03","-0,12","-0,14","-0,2","-0,7","-3,21","71,51",1520
151,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0  | Parallel,mes_gesamt,Celsa,ALO 12070,Parallel,4000,Standard,L2,"0,14","-0,07","-0,12","-0,95","-2,03","-3,28","-5,86","71,51",1520
152,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0  | Parallel,mes_gesamt,Celsa,ALO 12070,Parallel,4000,Standard,L3,"0,11","-0,12","-0,16","-0,2","-0,36","-1,22","-3,84","71,51",1520
153,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0  | Dreieck,mes_gesamt,Celsa,ALO 12070,Dreieck,4000,Standard,L1,"0,25","-0,04","-0,12","-0,14","-0,16","-0,23","-1,49","71,51",1520
154,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0  | Dreieck,mes_gesamt,Celsa,ALO 12070,Dreieck,4000,Standard,L2,"0,15","-0,09","-0,13","-0,15","-0,14","-0,15","0,29","71,51",1520
155,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0  | Dreieck,mes_gesamt,Celsa,ALO 12070,Dreieck,4000,Standard,L3,"0,08","-0,11","-0,17","-0,19","-0,21","-0,3","-1,71","71,51",1520
156,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,mes_gesamt,Celsa,ALO 12070 K,Dreieck,4000,Kompensiert,L1,"0,42","0,12","0,05","0,04","0,04","0,06","0,08","401,91",1520
157,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,mes_gesamt,Celsa,ALO 12070 K,Dreieck,4000,Kompensiert,L2,"0,11","-0,07","-0,16","-0,19","-0,19","-0,2","-0,65","401,91",1520
158,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,mes_gesamt,Celsa,ALO 12070 K,Dreieck,4000,Kompensiert,L3,"0,27","0,04","-0,03","-0,07","-0,07","-0,07","-0,06","401,91",1520
